"progressive.vote","girls","child","republican","age","casename","name","area","circuit","year"
1,2,2,1,52,"Zimmerman v. Direct Fed. Credit Union","Selya, Bruce M.","employment","1",2001
0,1,3,1,53,"Kirk v. Hitchcock Clinic","Boudin, Michael","employment","1",2001
0,2,2,0,NA,"Davis v. Lucent Techs., Inc.","Lipez, Kermit","employment","1",2001
0,2,2,1,52,"Straughn v. Delta Air Lines, Inc.","Selya, Bruce M.","employment","1",2001
1,2,2,0,NA,"Alberty-Velez v. Corporacion de P.R. Para la Diffusion Publica","Lipez, Kermit","employment","1",2001
1,NA,4,1,51,"O'Rourke v. City of Providence","Torruella del Valle, Juan R.","employment","1",2001
1,1,3,1,53,"Conetta v. Nat'l Hair Care Ctrs., Inc.","Boudin, Michael","employment","1",2001
1,NA,4,1,51,"Romano v. U-Haul Int'l","Torruella del Valle, Juan R.","employment","1",2000
0,0,1,0,49,"Megwinoff v. Banco Bilbao Vizcaya","Lynch, Sandra","employment","1",2000
0,NA,4,1,51,"Rodriguez v. SmithKline Beecham","Torruella del Valle, Juan R.","employment","1",2000
1,2,2,1,52,"White v. New Hampshire Dep't of Corrections","Selya, Bruce M.","employment","1",2000
1,NA,4,1,51,"Santiago-Ramos v. Centennial P.R. Wireless Corp.","Torruella del Valle, Juan R.","employment","1",2000
0,1,3,1,53,"Wills v. Brown Univ.","Boudin, Michael","employment","1",1999
1,2,2,1,52,"Campos-Orrego v. Rivera","Selya, Bruce M.","employment","1",1999
1,1,3,1,53,"Rosenberg v. Merrill Lynch, Pierce, Fenner & Smith, Inc.","Boudin, Michael","employment","1",1999
0,1,3,1,53,"Lennon v. Rubin","Boudin, Michael","employment","1",1999
1,1,3,1,53,"Tang v. Department of Ederly Affairs","Boudin, Michael","employment","1",1998
1,NA,4,1,51,"Troy v. Bay State Computer Group","Torruella del Valle, Juan R.","employment","1",1998
1,NA,2,1,61,"McMillan v. Massachusetts SPCA","Stahl, Norman H.","employment","1",1998
0,NA,2,1,61,"DeNovellis v. Shalala","Stahl, Norman H.","employment","1",1998
1,0,1,0,49,"Rodriguez-Hernandez v. Miranda-Velez","Lynch, Sandra","employment","1",1998
1,2,2,1,52,"Coutin v. Young & Rubicam P.R.","Selya, Bruce M.","employment","1",1997
0,2,2,1,52,"Serapion v. Martinez","Selya, Bruce M.","employment","1",1997
0,1,3,1,53,"Randlett v. Shalala","Boudin, Michael","employment","1",1997
1,0,2,1,58,"Molloy v. Blanchard","Cyr, Conrad F.","employment","1",1997
1,2,2,1,52,"Morrison v. Carleton Woolen Mills","Selya, Bruce M.","employment","1",1997
1,0,2,1,58,"Legault v. Zambarano","Cyr, Conrad F.","employment","1",1997
1,NA,4,1,51,"Selgas v. American Airlines","Torruella del Valle, Juan R.","employment","1",1997
0,2,2,1,52,"Lawton v. State Mut. Life Assur. Co. of Am.","Selya, Bruce M.","employment","1",1996
1,NA,4,1,51,"Cohen v. Brown Univ.","Torruella del Valle, Juan R.","Title IX","1",1996
1,0,1,0,49,"Rodriguez-Hernandez v. Miranda-Velez","Lynch, Sandra","employment","1",1998
0,NA,4,1,51,"Cohen v. Brown Univ.","Torruella del Valle, Juan R.","Title IX","1",1996
0,1,4,1,57,"Mario v. P & C Food Mkts.","McLaughlin, Joseph W.","employment","2",2002
1,2,3,0,46,"Min Jin v. Metro. Life Ins. Co.","Feinberg, Wilfred","employment","2",2002
0,1,1,1,49,"Alfano v. Costello","Walker, John M., Jr.","employment","2",2002
0,1,1,1,49,"Grillo v. N.Y. City Transit Auth.","Walker, John M., Jr.","employment","2",2002
1,1,4,1,57,"Phillips v. Bowen","McLaughlin, Joseph W.","employment","2",2002
1,2,3,1,47,"Legnani v. Alitalia Linee Aeree Italiane, S.P.A.","Oakes, James L.","employment","2",2001
1,2,3,0,NA,"Martens v. Thomann","Calabresi, Guido","employment","2",2001
0,1,1,1,49,"Weeks v. New York State","Walker, John M., Jr.","employment","2",2001
1,0,0,1,48,"Garcia v. Akwesasne Hous. Auth.","Jacobs, Dennis G.","employment","2",2001
0,1,1,0,NA,"McGuinness v. Lincoln Hall","Leval, Pierre Nelson","employment","2",2001
0,2,3,0,NA,"Brown v. Henderson","Calabresi, Guido","employment","2",2001
1,2,3,0,46,"Rose v. N.Y. City Bd. of Educ.","Feinberg, Wilfred","employment","2",2001
1,1,3,0,47,"Holtz v. Rockefeller & Co.","Newman, Jon O.","employment","2",2001
1,0,0,0,42,"Cifra v. GE","Kearse, Amalya Lyle","employment","2",2001
0,1,4,1,57,"Leibovitz v. New York City Transit Auth.","McLaughlin, Joseph W.","employment","2",2001
1,2,3,0,46,"Zimmermann v. Assocs. First Capital Corp.","Feinberg, Wilfred","employment","2",2001
1,0,0,0,42,"Fitzgerald v. Henderson","Kearse, Amalya Lyle","employment","2",2001
1,2,3,0,NA,"Gregory v. Daly","Calabresi, Guido","employment","2",2001
1,0,4,0,NA,"Raniola v. Bratton","Straub,  Chester","employment","2",2001
1,1,1,1,49,"Meloff v. New York Life Ins. Co.","Walker, John M., Jr.","employment","2",2001
1,1,1,1,49,"Lavin-Mceleney v. Marist College","Walker, John M., Jr.","employment","2",2001
1,0,4,1,51,"Flaherty v. Metromail Corp.","Miner, Roger J.","employment","2",2000
1,0,0,1,56,"Weinstock v. Columbia Univ.","Cardamone, Richard J.","employment","2",2000
0,1,1,1,49,"Simonton v. Runyon","Walker, John M., Jr.","employment","2",2000
1,3,5,1,60,"Wolak v. Spucci","Van Graafeiland, Ellsworth A.","employment","2",2000
1,0,0,0,42,"Howley v. Town of Stratford","Kearse, Amalya Lyle","employment","2",2000
0,1,1,0,NA,"Clark v. New York State Elec. & Gas Corp.","Leval, Pierre Nelson","employment","2",2000
0,3,5,1,60,"Butler v. New York State Dep't of Law","Van Graafeiland, Ellsworth A.","employment","2",2000
1,0,0,0,42,"Ryduchowski v. Port Auth.","Kearse, Amalya Lyle","employment","2",2000
1,0,0,1,48,"Cruz v. Coach Stores, Inc.","Jacobs, Dennis G.","employment","2",2000
0,0,0,1,48,"Boos v. Runyon","Jacobs, Dennis G.","employment","2",2000
0,0,0,0,42,"Bickerstaff v. Vassar College","Kearse, Amalya Lyle","employment","2",1999
0,1,3,0,47,"Smith v. Xerox Corp.","Newman, Jon O.","employment","2",1999
0,1,3,0,47,"Brennan v. Metropolitan Opera Ass'n","Newman, Jon O.","employment","2",1999
1,0,0,1,56,"Belfi v. Prendergast","Cardamone, Richard J.","employment","2",1999
1,2,3,0,NA,"Ortiz-Del Valle v. NBA","Calabresi, Guido","employment","2",1999
1,0,2,0,NA,"Cosgrove v. Sears, Roebuck, & Co.","Parker, Fred Irving","employment","2",1999
1,3,5,1,60,"Pietras v. Board of Fire Comm'rs","Van Graafeiland, Ellsworth A.","employment","2",1999
1,0,0,1,48,"Bonner v. Guccione","Jacobs, Dennis G.","employment","2",1999
1,3,5,1,60,"Leopold v. Baccarat, Inc.","Van Graafeiland, Ellsworth A.","employment","2",1999
1,1,1,0,NA,"Anderson v. State Univ. of New York","Leval, Pierre Nelson","employment","2",1999
1,0,2,0,NA,"EEOC v. Joint Apprenticeship Comm. of the Joint Indus. Bd. of the Elec.  Indus.","Parker, Fred Irving","employment","2",1998
1,0,0,0,42,"Hawkins v. 1115 Legal Serv. Care","Kearse, Amalya Lyle","employment","2",1998
1,2,3,1,47,"Quinn v. Green Tree Credit Corp.","Oakes, James L.","employment","2",1998
0,2,3,1,47,"Austin v. Ford Models","Oakes, James L.","employment","2",1998
1,0,0,0,42,"Gallagher v. Delaney","Kearse, Amalya Lyle","employment","2",1998
0,0,0,0,42,"Galdieri-Ambrosini v. National Realty & Dev. Corp.","Kearse, Amalya Lyle","employment","2",1998
1,3,5,1,60,"Annis v. County of Westchester","Van Graafeiland, Ellsworth A.","employment","2",1998
1,NA,NA,1,46,"Pollis v. New Sch. for Soc. Research","Winter, Ralph K.","employment","2",1997
0,2,4,1,47,"Canfield v. Van Atta Buick/GMC Truck","Meskill, Thomas J.","employment","2",1997
0,2,4,1,47,"Renz v. Grey Adver.","Meskill, Thomas J.","employment","2",1997
1,1,3,0,47,"Ierardi v. Sisco","Newman, Jon O.","employment","2",1997
1,2,3,1,47,"Kracunas v. Iona College","Oakes, James L.","employment","2",1997
0,1,1,1,49,"Shumway v. UPS","Walker, John M., Jr.","employment","2",1997
0,1,3,0,47,"Torres v. Pisano","Newman, Jon O.","employment","2",1997
0,2,3,1,47,"Luciano v. Olsten Corp.","Oakes, James L.","employment","2",1997
1,2,3,1,47,"Luciano v. Olsten Corp.","Oakes, James L.","employment","2",1997
1,2,3,0,46,"Dailey v. Societe Generale","Feinberg, Wilfred","employment","2",1997
1,NA,NA,1,46,"AFSCME v. County of Nassau","Winter, Ralph K.","employment","2",1996
1,0,4,1,51,"Reed v. A.W. Lawrence & Co.","Miner, Roger J.","employment","2",1996
1,NA,NA,1,46,"Burger v. New York Inst. of Tech.","Winter, Ralph K.","employment","2",1996
0,0,0,0,42,"Holt v. KMI-Continental","Kearse, Amalya Lyle","employment","2",1996
0,2,4,1,47,"Kern v. City of Rochester","Meskill, Thomas J.","employment","2",1996
1,2,3,0,46,"Chertkova v. Connecticut Gen. Life Ins. Co.","Feinberg, Wilfred","employment","2",1996
0,2,3,1,47,"Yerdon v. Henry","Oakes, James L.","employment","2",1996
1,0,0,0,42,"Quaratino v. Tiffany & Co.","Kearse, Amalya Lyle","pregnancy","2",1999
1,NA,NA,1,46,"Kerzer v. Kingly Mfg.","Winter, Ralph K.","pregnancy","2",1998
0,1,2,1,56,"Lanning v. SEPTA","Roth, Jane R.","employment","3",2002
0,1,3,1,49,"Coleman v. Home Depot, Inc.","Becker, Edward R.","employment","3",2002
0,0,0,1,47,"Rossi v. New Jersey","Scirica, Anthony J.","employment","3",2002
1,1,1,0,47,"Blair v. Scott Specialty Gases","Sloviter, Dolores K.","employment","3",2002
1,1,1,0,47,"Quinn v. Consol. Freightways Corp.","Sloviter, Dolores K.","employment","3",2002
0,1,3,1,49,"Holland v. N.J. Dep't of Corr.","Becker, Edward R.","employment","3",2001
1,1,2,1,40,"Goosby v. Johnson & Johnson Med., Inc.","Alito, Samuel A., Jr.","employment","3",2000
1,2,3,1,54,"Watson v. SEPTA","Greenberg, Morton I.","employment","3",2000
1,2,3,1,54,"Farrell v. Planters Lifesavers Co.","Greenberg, Morton I.","employment","3",2000
0,1,3,1,49,"Pivirotto v. Innovative Sys.","Becker, Edward R.","employment","3",1999
0,2,3,1,54,"Kunin v. Sears Roebuck & Co.","Greenberg, Morton I.","employment","3",1999
1,1,3,1,49,"Hurley v. Atlantic City Police Dep't","Becker, Edward R.","employment","3",1999
1,1,1,0,47,"Holley v. Department of Veteran Affairs","Sloviter, Dolores K.","employment","3",1999
1,1,3,1,49,"Seitzinger v. Reading Hosp. & Med. Ctr.","Becker, Edward R.","employment","3",1999
1,1,3,1,49,"Durham Life Ins. Co. v. Evans","Becker, Edward R.","employment","3",1999
1,2,2,1,57,"Bonenberger v. Plymouth Twp.","Cowen, Robert E.","employment","3",1997
1,1,3,1,49,"Williams v. Runyon","Becker, Edward R.","employment","3",1997
0,2,3,1,54,"Rhett v. Carnegie Ctr. Assocs.(In re Carnegie Ctr. Assocs.)","Greenberg, Morton I.","pregnancy","3",1997
1,1,4,1,43,"EEOC v. L.B. Foster Co.","Mansmann, Carol Los","employment","3",1997
1,2,3,1,54,"Robinson v. City of Pittsburgh","Greenberg, Morton I.","employment","3",1997
0,1,3,1,49,"Knabe v. Boury Corp.","Becker, Edward R.","employment","3",1997
0,2,3,1,54,"Rush v. Scott Specialty Gases","Greenberg, Morton I.","employment","3",1997
NA,NA,NA,NA,NA,"Azzaro v. County of Allegheny","","employment","3",1997
0,1,3,1,51,"Great Western Mortg. Corp. v. Peacock","Stapleton, Walter K.","employment","3",1997
1,1,1,0,47,"Kachmar v. Sungard Data Sys.","Sloviter, Dolores K.","employment","3",1997
0,0,0,1,47,"Hertz Corp. v. NLRB","Scirica, Anthony J.","employment","3",1997
0,1,4,1,43,"Mints v. Educational Testing Serv.","Mansmann, Carol Los","employment","3",1996
NA,NA,NA,NA,NA,"Sheridan v. E.I. Dupont de Nemours & Co.","","employment","3",1996
1,1,3,1,51,"Gares v. Willingboro Twp.","Stapleton, Walter K.","employment","3",1996
0,0,0,1,47,"Rossi v. New Jersey","Scirica, Anthony J.","employment","3",2002
1,1,1,0,47,"Blair v. Scott Specialty Gases","Sloviter, Dolores K.","employment","3",2002
1,1,2,1,56,"Gruenke v. Seip","Roth, Jane R.","reproductive rights","3",2000
0,2,3,1,54,"Alexander v. Whitman","Greenberg, Morton I.","reproductive rights","3",1997
0,2,3,1,54,"Rhett v. Carnegie Ctr. Assocs.(In re Carnegie Ctr. Assocs.)","Greenberg, Morton I.","pregnancy","3",1997
0,0,3,1,49,"Ocheltree v. Scollon Prods.","Niemeyer, Paul V.","employment","4",2002
1,0,3,1,49,"Corti v. Storage Tech. Corp.","Niemeyer, Paul V.","employment","4",2002
0,0,3,1,49,"Dugan v. Albemarle County Sch. Bd.","Niemeyer, Paul V.","employment","4",2002
0,2,4,1,41,"Dennis v. Columbia Colleton Med. Ctr., Inc.","Williams, Karen J.","employment","4",2002
0,1,2,1,49,"MicroStrategy, Inc. v. Lauricia","Widener, Hiram Emory, Jr.","employment","4",2001
0,1,2,1,40,"Montgomery v. Maryland","Wilkinson, J. Harvie, III","employment","4",2001
0,1,2,1,40,"Safrit v. Cone Mills Corp.","Wilkinson, J. Harvie, III","employment","4",2001
1,1,2,1,40,"EEOC v. R&R Ventures","Wilkinson, J. Harvie, III","employment","4",2001
0,2,4,1,41,"Gunten v. Maryland","Williams, Karen J.","employment","4",2001
1,1,2,1,40,"Barrett v. Applied Radiant Energy Corp.","Wilkinson, J. Harvie, III","employment","4",2001
0,2,3,1,44,"Edelman v. Lynchburg College","Wilkins, William W.","employment","4",2000
1,1,2,0,NA,"Conner v. Schrader-Bridgeport Int'l, Inc.","Motz, Diana Gribbon","employment","4",2000
0,1,2,1,40,"Butters v. Vance Int'l, Inc.","Wilkinson, J. Harvie, III","employment","4",2000
0,1,2,1,49,"Chris v. Tenet","Widener, Hiram Emory, Jr.","employment","4",2000
1,2,3,1,44,"Puryear v. County of Roanoke","Wilkins, William W.","employment","4",2000
0,1,2,1,40,"EEOC v. Roman Catholic Diocese","Wilkinson, J. Harvie, III","employment","4",2000
1,2,3,0,59,"Smith v. First Union Nat'l Bank","Murnaghan, Francis D.","employment","4",2000
NA,NA,NA,NA,NA,"Taylor v. Virginia Union Univ.","","employment","4",1999
0,2,4,1,41,"Mikels v. City of Durham","Williams, Karen J.","employment","4",1999
1,1,2,1,49,"Davis v. Virginia Commonwealth Univ.","Widener, Hiram Emory, Jr.","employment","4",1999
0,1,2,1,40,"Brinkley v. Harbour Rec. Club","Wilkinson, J. Harvie, III","employment","4",1999
1,2,3,1,44,"United States v. North Carolina","Wilkins, William W.","employment","4",1999
1,1,2,1,40,"Hooters of Am., Inc. v. Phillips","Wilkinson, J. Harvie, III","employment","4",1999
1,1,2,1,40,"Glover v. South Carolina Law Enforcement Div.","Wilkinson, J. Harvie, III","employment","4",1999
1,1,2,1,49,"Owen v. Carpenters' Dist. Council","Widener, Hiram Emory, Jr.","employment","4",1998
0,0,3,1,49,"Bender v. Suburban Hosp.","Niemeyer, Paul V.","employment","4",1998
0,2,3,0,59,"Tinsley v. First Union Nat'l Bank","Murnaghan, Francis D.","employment","4",1998
1,2,4,0,54,"In re Board of County Supervisors","Ervin, Samuel J., III","employment","4",1998
1,2,3,0,59,"DeJarnette v. Corning, Inc.","Murnaghan, Francis D.","pregnancy","4",1998
1,1,2,1,49,"Munday v. Waste Mgmt. of N. Am.","Widener, Hiram Emory, Jr.","employment","4",1997
0,1,2,1,40,"Hartsell v. Duplex Prods.","Wilkinson, J. Harvie, III","employment","4",1997
1,2,3,0,59,"Volvo GM Heavy Truck Corp. v. United States DOL","Murnaghan, Francis D.","employment","4",1997
1,2,3,0,59,"In re Lowe","Murnaghan, Francis D.","employment","4",1996
0,2,4,0,54,"Hetzel v. County of Prince William","Ervin, Samuel J., III","employment","4",1996
1,1,2,1,40,"Sheppard v. Riverview Nursing Ctr.","Wilkinson, J. Harvie, III","employment","4",1996
0,2,4,1,41,"Mikels v. City of Durham","Williams, Karen J.","employment","4",1999
0,0,3,1,49,"Greenville Women's Clinic v. Comm'r, S.C. Dep't of Health","Niemeyer, Paul V.","abortion","4",2002
0,0,3,1,49,"Greenville Women's Clinic v. Bryant","Niemeyer, Paul V.","abortion","4",2000
0,NA,NA,NA,NA,"Planned Parenthood v. Camblos","","abortion","4",1998
0,2,3,0,59,"Manning v. Hunt","Murnaghan, Francis D.","abortion","4",1997
1,2,3,0,59,"DeJarnette v. Corning, Inc.","Murnaghan, Francis D.","pregnancy","4",1998
1,1,2,1,41,"Hatley v. Hilton Hotels Corp.","Smith, Jerry","employment","5",2002
1,2,4,0,58,"Thomas v. Tex. Dep't of Crim. Justice","Reavley, Thomas M.","employment","5",2002
0,0,0,1,44,"Gee v. Principi","Garza, Emilio M.","employment","5",2002
1,2,2,1,44,"Green v. Adm'Rs of the Tulane Educ. Fund","Higginbotham, Patrick E.","employment","5",2002
1,NA,NA,1,47,"Tollett v. City of Kemah","Davis, W. Eugene","employment","5",2002
0,1,2,1,50,"Stout v. Baxter Healthcare Corp.","Garwood, William L.","pregnancy","5",2002
0,0,2,1,49,"Shafer v. Army & Air Force Exch. Serv.","Baldock, Bobby R.","employment","5",2002
0,0,3,1,36,"Vance v. Union Planters Corp.","Jones, Edith H.","employment","5",2002
1,NA,NA,1,45,"Montemayor v. City of San Antonio","Jolly, E. Grady","employment","5",2001
0,1,2,1,61,"Woods v. Delta Bev. Group, Inc.","DeMoss, Harold R., Jr.","employment","5",2001
1,0,3,0,NA,"Fierros v. Tex. Dep't of Health","King, Carolyn Dineen","employment","5",2001
1,NA,NA,1,45,"Wieburg v. GTE Southwest, Inc.","Jolly, E. Grady","employment","5",2001
0,0,0,1,44,"Wallace v. Methodist Hosp. Sys.","Garza, Emilio M.","pregnancy","5",2001
0,1,2,1,50,"EEOC v. S. Farm Bureau Cas. Ins. Co.","Garwood, William L.","employment","5",2001
0,1,2,1,50,"Mato v. Baldauf","Garwood, William L.","employment","5",2001
1,NA,11,0,47,"Siler-Khodr v. Univ. of Tex. Health Sci. Ctr. San Antonio","Politz, Henry A.","employment","5",2001
0,0,3,0,NA,"Rios v. Rossotti","King, Carolyn Dineen","employment","5",2001
1,NA,NA,1,45,"Meister v. Tex. Adjutant General's Dep't","Jolly, E. Grady","employment","5",2000
1,0,0,1,46,"Kennedy v. Tangipahoa Parish Library Bd. of Control","Barksdale, Rhesa H.","employment","5",2000
1,0,3,0,NA,"Thomas v. Texas Dep't of Crim. Justice","King, Carolyn Dineen","employment","5",2000
1,0,3,1,36,"Williams v. Trader Publ'g Co.","Jones, Edith H.","employment","5",2000
0,2,4,1,56,"Arnold v. United States DOI","Wiener, Jacques L., Jr.","employment","5",2000
1,NA,NA,1,47,"Vance v. Union Planters Corp.","Davis, W. Eugene","employment","5",2000
0,0,3,1,36,"Ahrens v. Perot Sys. Corp.","Jones, Edith H.","employment","5",2000
1,0,0,1,44,"Rutherford v. Harris County","Garza, Emilio M.","employment","5",1999
0,2,4,0,64,"Sreeram v. Louisiana State Univ. Med. Center-Shreveport","Garza, Reynaldo","employment","5",1999
0,NA,11,0,47,"Scales v. Slater","Politz, Henry A.","employment","5",1999
0,NA,NA,1,47,"Combs v. Central Tex. Annual Conf. of the United Methodist Church","Davis, W. Eugene","pregnancy","5",1999
0,0,3,1,36,"Shepherd v. Comptroller of Pub. Accounts","Jones, Edith H.","employment","5",1999
0,2,2,1,44,"Bauer v. Albemarle Corp.","Higginbotham, Patrick E.","employment","5",1999
0,0,3,1,36,"Indest v. Freeman Decorating","Jones, Edith H.","employment","5",1999
0,NA,NA,1,45,"Krystek v. University of S. Mississippi","Jolly, E. Grady","employment","5",1999
0,2,4,0,64,"Baltazor v. Holmes","Garza, Reynaldo","employment","5",1998
0,0,3,0,NA,"Butler v. Ysleta Indep. Sch. Dist.","King, Carolyn Dineen","employment","5",1998
0,NA,11,0,47,"Benningfield v. City of Houston","Politz, Henry A.","employment","5",1998
0,NA,NA,1,45,"Halicki v. Louisiana Casino Cruises","Jolly, E. Grady","employment","5",1998
1,2,4,1,55,"Ussery v. Louisiana ex rel. Louisiana Dep't of Health & Hosps.","Duhe, John M.","employment","5",1998
0,NA,NA,1,45,"Douglas v. DynMcDermott Petroleum Operations Co.","Jolly, E. Grady","employment","5",1998
0,2,4,0,58,"Urbano v. Continental Airlines","Reavley, Thomas M.","pregnancy","5",1998
0,2,3,1,52,"Nichols v. Grocer","Wisdom, John","employment","5",1998
1,2,4,0,58,"Migis v. Pearle Vision","Reavley, Thomas M.","pregnancy","5",1998
0,2,4,1,55,"Sloan v. Sharp","Duhe, John M.","employment","5",1998
1,2,4,0,64,"Messer v. Meno","Garza, Reynaldo","employment","5",1997
0,NA,11,0,47,"Travis v. Board of Regents of the Univ. of Tex. Sys.","Politz, Henry A.","employment","5",1997
0,1,2,1,41,"Walton v. Bisco Indus.","Smith, Jerry","employment","5",1997
0,NA,NA,1,47,"Barnes v. Levitt","Davis, W. Eugene","employment","5",1997
1,NA,11,0,47,"Lowrey v. Texas A & M Univ. Sys.","Politz, Henry A.","employment","5",1997
0,0,3,0,NA,"Southard v. Texas Bd. of Crim. Justice","King, Carolyn Dineen","employment","5",1997
0,0,3,0,NA,"Rosa H. v. San Elizario Indep. Sch. Dist.","King, Carolyn Dineen","Title IX","5",1997
0,1,2,1,50,"Mattern v. Eastman Kodak Co.","Garwood, William L.","employment","5",1997
0,2,2,1,44,"Ward v. Bechtel Corp.","Higginbotham, Patrick E.","employment","5",1997
1,2,4,0,64,"Garcia v. Woman's Hosp.","Garza, Reynaldo","pregnancy","5",1996
0,2,2,1,44,"Hirras v. National R.R. Passenger Corp.","Higginbotham, Patrick E.","employment","5",1996
1,1,2,1,50,"Long v. Eastfield College","Garwood, William L.","employment","5",1996
1,NA,11,0,47,"Siler-Khodr v. Univ. of Tex. Health Sci. Ctr. San Antonio","Politz, Henry A.","employment","5",2001
1,2,4,0,64,"Horaist v. Doctor's Hosp. of Opelousas","Garza, Reynaldo","employment","5",2001
1,NA,11,0,47,"Causeway Medical Suite v. Ieyoub","Politz, Henry A.","abortion","5",1997
0,0,0,1,44,"Wallace v. Methodist Hosp. Sys.","Garza, Emilio M.","pregnancy","5",2001
0,0,3,0,NA,"Garcia v. Woman's Hosp.","King, Carolyn Dineen","pregnancy","5",1998
0,2,4,0,58,"Urbano v. Continental Airlines","Reavley, Thomas M.","pregnancy","5",1998
1,2,4,0,64,"Garcia v. Woman's Hosp.","Garza, Reynaldo","pregnancy","5",1996
0,1,2,1,47,"Watts v. Fed. Express Corp.","Batchelder, Alice M.","employment","6",2002
0,1,2,1,51,"Clark v. Harber","Norris, Alan E.","employment","6",2002
0,2,4,1,53,"Williams v. Mich.","Ryan, James L.","employment","6",2002
0,3,3,0,55,"Dotson v. Norfolk S. Ry. Co.","Keith, Damon J.","employment","6",2002
0,NA,NA,NA,NA,"White v. Burlington Northern & Santa Fe Ry. Co.","James S. Gwin","employment","6",2002
0,3,3,0,55,"Hardy v. Eastman Chem. Co.","Keith, Damon J.","employment","6",2002
0,1,2,1,47,"Goshorn v. Ohio DOT","Batchelder, Alice M.","employment","6",2002
0,0,2,1,55,"Howard v. Ups","Siler, Eugene E., Jr.","employment","6",2002
1,1,1,0,NA,"McFarland v. Henderson","Daughtrey, Martha Craig","employment","6",2002
0,1,3,0,41,"Conti v. Universal Enters.","Merritt, Gilbert S.","employment","6",2002
0,2,3,1,42,"Bryant v. Martinez","Boggs, Danny J.","employment","6",2002
0,NA,3,1,54,"Johnson v. Univ. Hosp. of Cleveland","Suhrheinrich, Richard F.","employment","6",2002
0,1,3,1,53,"Baker v. Ohio","Nelson, David A.","employment","6",2002
0,0,1,0,56,"Mayers v. Tenn. Bd. of Regents","Kennedy, Cornelia Groefsema","employment","6",2002
0,NA,3,1,54,"Policastro v. Northwest Airlines, Inc.","Suhrheinrich, Richard F.","employment","6",2002
0,0,0,0,44,"Clark v. Alcan Aluminum Corp.","Clay, Eric","employment","6",2002
0,0,2,1,55,"Prebilich-Holland v. Gaylord Entm't Co.","Siler, Eugene E., Jr.","pregnancy","6",2002
0,NA,NA,1,61,"Winters v. MTL Sys.","Krupansky, Robert B.","employment","6",2002
